,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,France,France,France,France,France,France,France,France,France,France,France,France
45,überträgt,25,0.025,25,0.025,1000,maßnahmen,23,0.023,23,0.023,1000,philippinen,14,0.014,14,0.014,1000,serbien,7,0.0128,7,0.0128,545,krankheiten,12,0.012,12,0.012,1000,stare,8,0.0233,8,0.0233,343,esperti,16,0.016,16,0.016,1000,c'è,16,0.016,16,0.016,1000,confirmados,20,0.02,20,0.02,1000,transmisión,24,0.024,24,0.024,1000,moitié,15,0.015,15,0.015,1000,chevaux,14,0.014,14,0.014,1000
46,infektion,25,0.025,25,0.025,1000,neu,23,0.023,23,0.023,1000,gesundheitsnotstand,13,0.013,13,0.013,1000,infektion,7,0.0128,7,0.0128,545,erfolgreich,12,0.012,12,0.012,1000,überträgerin,8,0.0233,8,0.0233,343,clima,15,0.015,15,0.015,1000,decessi,16,0.016,16,0.016,1000,llegar,20,0.02,20,0.02,1000,vejer,23,0.023,23,0.023,1000,menace,14,0.014,14,0.014,1000,000,14,0.014,14,0.014,1000
47,alarm,25,0.025,25,0.025,1000,diskutieren,23,0.023,23,0.023,1000,übertragung,13,0.013,13,0.013,1000,höhenflug,7,0.0128,7,0.0128,545,philippinen,12,0.012,12,0.012,1000,erobert,8,0.0233,8,0.0233,343,consigli,15,0.015,15,0.015,1000,torna,16,0.016,16,0.016,1000,detectado,19,0.019,19,0.019,1000,amplía,23,0.023,23,0.023,1000,saison,14,0.014,14,0.014,1000,moitié,13,0.013,13,0.013,1000
48,steigt,25,0.025,25,0.025,1000,rätseln,23,0.023,23,0.023,1000,gefährlicher,13,0.013,13,0.013,1000,klimakrise,7,0.0128,7,0.0128,545,soldaten,12,0.012,12,0.012,1000,hochsaison,8,0.0233,8,0.0233,343,morti,15,0.015,15,0.015,1000,bassetti,16,0.016,16,0.016,1000,aedes,19,0.019,19,0.019,1000,mallorca,22,0.022,22,0.022,1000,alpes,14,0.014,14,0.014,1000,paca,13,0.013,13,0.013,1000
49,legen,25,0.025,25,0.025,1000,etabliert,23,0.023,23,0.023,1000,gefährliches,13,0.013,13,0.013,1000,tschechien,6,0.011,6,0.011,545,maladies,12,0.012,12,0.012,1000,zecken,8,0.0233,8,0.0233,343,allerta,15,0.015,15,0.015,1000,positive,16,0.016,16,0.016,1000,alto,19,0.019,19,0.019,1000,campo,22,0.022,22,0.022,1000,l'oms,14,0.014,14,0.014,1000,restreint,13,0.013,13,0.013,1000
50,winter,25,0.025,25,0.025,1000,symptome,22,0.022,22,0.022,1000,corona,13,0.013,13,0.013,1000,zunehmend,6,0.011,6,0.011,545,vormarsch,11,0.011,11,0.011,1000,risiko,8,0.0233,8,0.0233,343,emergenza,14,0.014,14,0.014,1000,trasmette,15,0.015,15,0.015,1000,control,19,0.019,19,0.019,1000,acción,22,0.022,22,0.022,1000,savoir,14,0.014,14,0.014,1000,climatique,13,0.013,13,0.013,1000
51,eier,25,0.025,25,0.025,1000,intensivieren,21,0.021,21,0.021,1000,epidemie,13,0.013,13,0.013,1000,risiko,6,0.011,6,0.011,545,tropenkrankheit,11,0.011,11,0.011,1000,occidental,8,0.0233,8,0.0233,343,autoctoni,14,0.014,14,0.014,1000,piano,14,0.014,14,0.014,1000,trampas,19,0.019,19,0.019,1000,málaga,21,0.021,21,0.021,1000,piqûres,13,0.013,13,0.013,1000,unis,13,0.013,13,0.013,1000
52,stechmücke,24,0.024,24,0.024,1000,österreich,21,0.021,21,0.021,1000,droht,12,0.012,12,0.012,1000,deutschland,6,0.011,6,0.011,545,viren,11,0.011,11,0.011,1000,moustique,8,0.0233,7,0.0204,343,bassetti,14,0.014,14,0.014,1000,anziano,14,0.014,14,0.014,1000,altas,19,0.019,19,0.019,1000,diez,21,0.021,21,0.021,1000,l'hexagone,13,0.013,13,0.013,1000,identifié,12,0.012,12,0.012,1000
53,überwintert,24,0.024,24,0.024,1000,mehrere,21,0.021,21,0.021,1000,infektion,12,0.012,12,0.012,1000,südeuropa,6,0.011,6,0.011,545,tote,11,0.011,11,0.011,1000,aggressive,7,0.0204,7,0.0204,343,spaccaossa,14,0.014,14,0.014,1000,nuova,14,0.014,14,0.014,1000,ejemplares,18,0.018,18,0.018,1000,muerte,21,0.021,21,0.021,1000,propagation,13,0.013,13,0.013,1000,transmises,12,0.012,12,0.012,1000
54,bedroht,24,0.024,24,0.024,1000,vermutung,21,0.021,21,0.021,1000,soldaten,12,0.012,12,0.012,1000,47,6,0.011,6,0.011,545,santé,11,0.011,11,0.011,1000,erreger,7,0.0204,7,0.0204,343,vicentino,14,0.014,14,0.014,1000,consigli,14,0.014,14,0.014,1000,olas,18,0.018,18,0.018,1000,área,21,0.021,21,0.021,1000,l'épidémie,13,0.013,13,0.013,1000,paris,12,0.012,12,0.012,1000
55,krankheitsrisiko,24,0.024,24,0.024,1000,osten,20,0.02,20,0.02,1000,gefährliche,11,0.011,11,0.011,1000,erreger,6,0.011,6,0.011,545,brésil,11,0.011,11,0.011,1000,virologe,7,0.0204,7,0.0204,343,caldo,13,0.013,13,0.013,1000,oristano,14,0.014,14,0.014,1000,acelera,18,0.018,18,0.018,1000,contagio,20,0.02,20,0.02,1000,climatique,12,0.012,12,0.012,1000,réchauffement,12,0.012,12,0.012,1000
56,südeuropa,24,0.024,24,0.024,1000,gefunden,19,0.019,19,0.019,1000,risiko,11,0.011,11,0.011,1000,übertragen,6,0.011,6,0.011,545,experte,10,0.01,10,0.01,1000,stirbt,7,0.0204,7,0.0204,343,contagi,13,0.013,13,0.013,1000,iss,14,0.014,14,0.014,1000,notifica,18,0.018,18,0.018,1000,semana,20,0.02,20,0.02,1000,carte,12,0.012,12,0.012,1000,400,12,0.012,12,0.012,1000
57,heimische,22,0.022,22,0.022,1000,infiziert,19,0.019,19,0.019,1000,spanien,11,0.011,11,0.011,1000,zahl,6,0.011,6,0.011,545,rät,10,0.01,10,0.01,1000,beinahe,7,0.0204,7,0.0204,343,lazio,13,0.013,13,0.013,1000,colpito,14,0.014,14,0.014,1000,similares,18,0.018,18,0.018,1000,puebla,19,0.019,18,0.018,1000,arriver,12,0.012,12,0.012,1000,identifiés,11,0.011,11,0.011,1000
58,nachbarland,22,0.022,22,0.022,1000,gefährlicher,19,0.019,19,0.019,1000,entdeckt,11,0.011,11,0.011,1000,droht,6,0.011,6,0.011,545,situation,10,0.01,10,0.01,1000,mückenstich,7,0.0204,7,0.0204,343,inizio,12,0.012,12,0.012,1000,lodi,13,0.013,13,0.013,1000,brasil,17,0.017,17,0.017,1000,río,19,0.019,19,0.019,1000,reconnaître,12,0.012,12,0.012,1000,transmettent,11,0.011,11,0.011,1000
59,schützen,20,0.02,20,0.02,1000,plage,19,0.019,19,0.019,1000,verbreitet,11,0.011,11,0.011,1000,dengue,6,0.011,6,0.011,545,gemeinde,10,0.01,10,0.01,1000,gefühlt,7,0.0204,7,0.0204,343,torna,12,0.012,12,0.012,1000,comune,13,0.013,13,0.013,1000,comunidad,17,0.017,17,0.017,1000,medidas,19,0.019,19,0.019,1000,rhône,12,0.012,12,0.012,1000,vigilance,11,0.011,11,0.011,1000
60,mücke,19,0.019,19,0.019,1000,todesfällen,19,0.019,19,0.019,1000,vormarsch,10,0.01,10,0.01,1000,blutsauger,6,0.011,6,0.011,545,bekämpfung,10,0.01,10,0.01,1000,stunde,7,0.0204,7,0.0204,343,rio,12,0.012,12,0.012,1000,primi,13,0.013,13,0.013,1000,vacuna,17,0.017,17,0.017,1000,enfermedades,19,0.019,19,0.019,1000,opération,12,0.012,12,0.012,1000,piquer,11,0.011,11,0.011,1000
61,betroffen,18,0.018,18,0.018,1000,pferden,19,0.019,19,0.019,1000,breiten,10,0.01,10,0.01,1000,frau,6,0.011,6,0.011,545,fordert,10,0.01,10,0.01,1000,gartenvögel,7,0.0204,7,0.0204,343,milione,12,0.012,12,0.012,1000,paura,13,0.013,13,0.013,1000,maría,17,0.017,17,0.017,1000,extiende,19,0.019,19,0.019,1000,territoire,12,0.012,12,0.012,1000,piqûre,11,0.011,11,0.011,1000
62,entdecken,18,0.018,18,0.018,1000,trotz,19,0.019,19,0.019,1000,impfung,10,0.01,10,0.01,1000,gefährlich,6,0.011,6,0.011,545,détecté,10,0.01,10,0.01,1000,gemeldet,7,0.0204,7,0.0204,343,disinfestazioni,11,0.011,11,0.011,1000,ospedale,13,0.013,13,0.013,1000,velasco,17,0.017,17,0.017,1000,sangre,19,0.019,19,0.019,1000,l'europe,12,0.012,12,0.012,1000,région,11,0.011,11,0.011,1000
63,bayern,18,0.018,18,0.018,1000,weiterem,19,0.019,19,0.019,1000,220.000,10,0.01,10,0.01,1000,stunde,6,0.011,6,0.011,545,canton,10,0.01,10,0.01,1000,neuer,7,0.0204,7,0.0204,343,zone,11,0.011,11,0.011,1000,lotta,13,0.013,13,0.013,1000,infectóloga,17,0.017,17,0.017,1000,larga,19,0.019,19,0.019,1000,réchauffement,11,0.011,11,0.011,1000,côte,11,0.011,11,0.011,1000
64,risiko,18,0.018,18,0.018,1000,todesfälle,18,0.018,18,0.018,1000,gedacht,10,0.01,10,0.01,1000,operation,6,0.011,6,0.011,545,vaud,10,0.01,10,0.01,1000,wef,7,0.0204,7,0.0204,343,focolaio,11,0.011,11,0.011,1000,10,13,0.013,13,0.013,1000,histórico,17,0.017,17,0.017,1000,contaminación,19,0.019,19,0.019,1000,bientôt,11,0.011,11,0.011,1000,d'azur,11,0.011,11,0.011,1000
65,detail,17,0.017,17,0.017,1000,nachgewiesen,17,0.017,17,0.017,1000,nigeria,10,0.01,10,0.01,1000,anschober,6,0.011,6,0.011,545,été,10,0.01,10,0.01,1000,bericht,7,0.0204,7,0.0204,343,modena,11,0.011,11,0.011,1000,difendersi,12,0.012,12,0.012,1000,latinoamérica,17,0.017,17,0.017,1000,lumínica,19,0.019,19,0.019,1000,progression,11,0.011,11,0.011,1000,alerte,11,0.011,11,0.011,1000
66,augen,17,0.017,17,0.017,1000,klimawandel,17,0.017,17,0.017,1000,alarm,9,0.009,9,0.009,1000,500,6,0.011,6,0.011,545,l'oms,10,0.01,10,0.01,1000,führt,7,0.0204,7,0.0204,343,malattia,11,0.011,11,0.011,1000,infette,12,0.012,12,0.012,1000,peligrosa,17,0.017,17,0.017,1000,intensa,19,0.019,19,0.019,1000,nouvelle,11,0.011,11,0.011,1000,déjà,11,0.011,11,0.011,1000
67,öffnet,17,0.017,17,0.017,1000,frau,17,0.017,17,0.017,1000,frau,9,0.009,9,0.009,1000,amsel,5,0.00917,5,0.00917,545,vaccin,10,0.01,10,0.01,1000,gesundheitskrise,7,0.0204,7,0.0204,343,2024,11,0.011,11,0.011,1000,latina,12,0.012,12,0.012,1000,alertan,16,0.016,16,0.016,1000,común,18,0.018,18,0.018,1000,58,11,0.011,11,0.011,1000,poursuit,11,0.011,11,0.011,1000
68,eingeschleppte,17,0.017,17,0.017,1000,tropischer,17,0.017,17,0.017,1000,erklärt,9,0.009,9,0.009,1000,vögel,5,0.00917,5,0.00917,545,microcéphalie,10,0.01,10,0.01,1000,erlebt,7,0.0204,7,0.0204,343,paura,11,0.011,11,0.011,1000,contagiato,12,0.012,12,0.012,1000,bacteria,15,0.015,15,0.015,1000,confirman,18,0.018,18,0.018,1000,grand,11,0.011,11,0.011,1000,l'hérault,11,0.011,11,0.011,1000
69,mückenarten,17,0.017,17,0.017,1000,erstmals,17,0.017,17,0.017,1000,globalen,9,0.009,9,0.009,1000,starb,5,0.00917,5,0.00917,545,steigt,9,0.009,9,0.009,1000,insektenplage,7,0.0204,7,0.0204,343,roma,11,0.011,11,0.011,1000,zika,12,0.012,12,0.012,1000,detecta,15,0.015,15,0.015,1000,mantiene,18,0.018,18,0.018,1000,auvergne,11,0.011,11,0.011,1000,blacklist,11,0.011,11,0.011,1000
70,gefährliche,16,0.016,16,0.016,1000,usutu,17,0.017,17,0.017,1000,zahl,9,0.009,9,0.009,1000,dutzende,5,0.00917,5,0.00917,545,warnt,9,0.009,9,0.009,1000,hochwasser,7,0.0204,7,0.0204,343,procida,11,0.011,11,0.011,1000,occidentale,11,0.011,11,0.011,1000,aumento,15,0.015,15,0.015,1000,año,18,0.018,18,0.018,1000,dangers,11,0.011,11,0.011,1000,bordeaux,10,0.01,10,0.01,1000
71,studie,16,0.016,16,0.016,1000,berlin,17,0.017,17,0.017,1000,übertragen,9,0.009,9,0.009,1000,warnt,5,0.00917,5,0.00917,545,jagd,9,0.009,9,0.009,1000,explosions­artig,7,0.0204,7,0.0204,343,india,11,0.011,11,0.011,1000,ricoverata,11,0.011,11,0.011,1000,navarra,15,0.015,15,0.015,1000,detectar,18,0.018,18,0.018,1000,piqûre,11,0.011,11,0.011,1000,ouest,10,0.01,10,0.01,1000
72,verschärft,16,0.016,16,0.016,1000,us,17,0.017,17,0.017,1000,infektionskrankheiten,9,0.009,9,0.009,1000,tigermücken,5,0.00917,5,0.00917,545,entdeckt,9,0.009,9,0.009,1000,blossem,7,0.0204,7,0.0204,343,settimana,11,0.011,11,0.011,1000,seconda,11,0.011,11,0.011,1000,madrid,15,0.015,15,0.015,1000,baleares,18,0.018,18,0.018,1000,épisode,11,0.011,11,0.011,1000,humaine,10,0.01,10,0.01,1000
73,denguefiebers,16,0.016,16,0.016,1000,erkrankung,16,0.016,16,0.016,1000,babys,9,0.009,9,0.009,1000,sorge,5,0.00917,5,0.00917,545,bern,9,0.009,9,0.009,1000,auge,7,0.0204,7,0.0204,343,piano,10,0.01,10,0.01,1000,paziente,11,0.011,11,0.011,1000,autóctono,14,0.014,14,0.014,1000,estudios,18,0.018,18,0.018,1000,faible,10,0.01,10,0.01,1000,épidémies,10,0.01,10,0.01,1000
74,übertragene,15,0.015,15,0.015,1000,beruft,16,0.016,16,0.016,1000,entwickeln,9,0.009,9,0.009,1000,exotische,5,0.00917,5,0.00917,545,beteiligt,9,0.009,9,0.009,1000,erkennen,7,0.0204,7,0.0204,343,sapere,10,0.01,10,0.01,1000,regione,11,0.011,11,0.011,1000,llegada,14,0.014,14,0.014,1000,ganan,18,0.018,18,0.018,1000,repérés,10,0.01,10,0.01,1000,foyers,10,0.01,10,0.01,1000
75,bringen,15,0.015,15,0.015,1000,taskforce,16,0.016,16,0.016,1000,norditalien,9,0.009,9,0.009,1000,tot,5,0.00917,5,0.00917,545,trinationaler,9,0.009,9,0.009,1000,einfach,7,0.0204,7,0.0204,343,controllo,10,0.01,10,0.01,1000,focolai,11,0.011,11,0.011,1000,canarias,14,0.014,14,0.014,1000,terreno,18,0.018,18,0.018,1000,implanté,10,0.01,10,0.01,1000,coronavirus,10,0.01,10,0.01,1000
76,stechmücken,15,0.015,15,0.015,1000,immunologe,16,0.016,16,0.016,1000,honduras,9,0.009,9,0.009,1000,forscher,5,0.00917,5,0.00917,545,invasive,9,0.009,8,0.008,1000,klimawandels,7,0.0204,7,0.0204,343,anti,10,0.01,10,0.01,1000,record,11,0.011,11,0.011,1000,cuidado,14,0.014,14,0.014,1000,pueblos,17,0.017,17,0.017,1000,réunion,10,0.01,10,0.01,1000,clark,10,0.01,10,0.01,1000
77,schlägt,15,0.015,15,0.015,1000,fauci,16,0.016,16,0.016,1000,us,9,0.009,9,0.009,1000,laut,5,0.00917,5,0.00917,545,meiden,9,0.009,9,0.009,1000,genügt,7,0.0204,7,0.0204,343,primi,10,0.01,10,0.01,1000,coronavirus,11,0.011,11,0.011,1000,infección,14,0.014,14,0.014,1000,notifica,17,0.017,17,0.017,1000,hausse,10,0.01,10,0.01,1000,middleton,10,0.01,10,0.01,1000
78,invasive,14,0.014,14,0.014,1000,erkrankt,16,0.016,16,0.016,1000,aufarbeitung,9,0.009,9,0.009,1000,'s,5,0.00917,5,0.00917,545,getestet,9,0.009,9,0.009,1000,bürgern,7,0.0204,7,0.0204,343,ricoverato,10,0.01,10,0.01,1000,grave,10,0.01,10,0.01,1000,sexual,14,0.014,14,0.014,1000,banco,17,0.017,17,0.017,1000,concernés,10,0.01,10,0.01,1000,états,10,0.01,10,0.01,1000
79,münchen,14,0.014,13,0.013,1000,alarm,15,0.015,15,0.015,1000,lockdown,9,0.009,9,0.009,1000,babylon,5,0.00917,5,0.00917,545,gardasee,9,0.009,9,0.009,1000,empfehlen,7,0.0204,7,0.0204,343,gialla,10,0.01,10,0.01,1000,comuni,10,0.01,10,0.01,1000,prevenir,14,0.014,14,0.014,1000,peligroso,17,0.017,17,0.017,1000,département,10,0.01,10,0.01,1000,test,10,0.01,10,0.01,1000
80,verdacht,14,0.014,14,0.014,1000,vögeln,15,0.015,15,0.015,1000,zählen,9,0.009,9,0.009,1000,mira,5,0.00917,5,0.00917,545,1000,9,0.009,9,0.009,1000,genügend,7,0.0204,7,0.0204,343,sindaco,9,0.009,9,0.009,1000,rischi,10,0.01,10,0.01,1000,zonas,14,0.014,14,0.014,1000,ciudades,17,0.017,17,0.017,1000,strasbourg,10,0.01,10,0.01,1000,300,10,0.01,10,0.01,1000
81,bedrohung,14,0.014,14,0.014,1000,fotograf,14,0.014,14,0.014,1000,100,9,0.009,9,0.009,1000,ergebnis,5,0.00917,5,0.00917,545,220'000,9,0.009,9,0.009,1000,trinken,7,0.0204,7,0.0204,343,metà,9,0.009,9,0.009,1000,pazienti,10,0.01,10,0.01,1000,transmisor,14,0.014,14,0.014,1000,vigilancia,16,0.016,16,0.016,1000,peur,9,0.009,9,0.009,1000,frappe,9,0.009,9,0.009,1000
82,infiziert,13,0.013,13,0.013,1000,registriert,14,0.014,14,0.014,1000,eu,8,0.008,8,0.008,1000,klagenfurt,5,0.00917,5,0.00917,545,alarm,9,0.009,9,0.009,1000,griechenland,6,0.0175,6,0.0175,343,aumento,9,0.009,9,0.009,1000,via,10,0.01,10,0.01,1000,respecto,14,0.014,14,0.014,1000,zonas,16,0.016,16,0.016,1000,prémunir,9,0.009,9,0.009,1000,morts,9,0.009,9,0.009,1000
83,impfstoff,13,0.013,13,0.013,1000,überträger,13,0.013,13,0.013,1000,viren,8,0.008,8,0.008,1000,zeckenart,5,0.00917,5,0.00917,545,kopfgeld,9,0.009,9,0.009,1000,sommer,6,0.0175,6,0.0175,343,studio,9,0.009,9,0.009,1000,donatori,10,0.01,10,0.01,1000,proliferación,14,0.014,14,0.014,1000,españolas,16,0.016,16,0.016,1000,créteil,9,0.009,9,0.009,1000,provence,9,0.009,9,0.009,1000
84,bürger,13,0.013,13,0.013,1000,verbreitet,13,0.013,13,0.013,1000,tropenvirus,8,0.008,8,0.008,1000,sommer,5,0.00917,5,0.00917,545,honduras,9,0.009,9,0.009,1000,schwule,6,0.0175,6,0.0175,343,fano,9,0.009,9,0.009,1000,puntura,10,0.01,10,0.01,1000,transmite,14,0.014,14,0.014,1000,capturados,15,0.015,15,0.015,1000,loire,9,0.009,8,0.008,1000,territoire,9,0.009,9,0.009,1000
85,gering,13,0.013,13,0.013,1000,gefahr,13,0.013,13,0.013,1000,gefahr,8,0.008,8,0.008,1000,krank,5,0.00917,5,0.00917,545,sang,9,0.009,9,0.009,1000,trumps,6,0.0175,6,0.0175,343,ministero,9,0.009,9,0.009,1000,confermati,10,0.01,10,0.01,1000,provocar,14,0.014,14,0.014,1000,córdoba,15,0.015,15,0.015,1000,français,9,0.009,9,0.009,1000,questions,9,0.009,9,0.009,1000
86,urlauber,12,0.012,12,0.012,1000,amseln,13,0.013,13,0.013,1000,gefunden,8,0.008,8,0.008,1000,infektionskrankheiten,5,0.00917,5,0.00917,545,gefährlichen,8,0.008,8,0.008,1000,wichtigster,6,0.0175,6,0.0175,343,donna,9,0.009,9,0.009,1000,l'italia,10,0.01,10,0.01,1000,global,13,0.013,13,0.013,1000,montalbán,15,0.015,15,0.015,1000,transmettre,9,0.009,9,0.009,1000,progression,9,0.009,9,0.009,1000
87,beliebte,12,0.012,12,0.012,1000,nachweis,13,0.013,13,0.013,1000,getestet,8,0.008,8,0.008,1000,herbst,5,0.00917,5,0.00917,545,gesundheit,8,0.008,8,0.008,1000,corona,6,0.0175,6,0.0175,343,mappa,9,0.009,9,0.009,1000,alta,10,0.01,10,0.01,1000,transmitirte,13,0.013,13,0.013,1000,control,15,0.015,13,0.013,1000,épidémie,9,0.009,9,0.009,1000,cause,9,0.009,9,0.009,1000
88,co,12,0.012,12,0.012,1000,experte,13,0.013,13,0.013,1000,infizierte,8,0.008,8,0.008,1000,neues,5,0.00917,5,0.00917,545,schweizer,8,0.008,8,0.008,1000,berater,6,0.0175,6,0.0175,343,padova,9,0.009,9,0.009,1000,picco,10,0.01,10,0.01,1000,picaduras,13,0.013,13,0.013,1000,caballo,15,0.015,15,0.015,1000,record,9,0.009,9,0.009,1000,prolifération,9,0.009,9,0.009,1000
89,virologe,12,0.012,12,0.012,1000,halle,12,0.012,12,0.012,1000,gehirne,8,0.008,8,0.008,1000,meiden,5,0.00917,5,0.00917,545,sorgfältiger,8,0.008,8,0.008,1000,schweizer,6,0.0175,6,0.0175,343,regioni,9,0.009,9,0.009,1000,emilia,10,0.01,10,0.01,1000,emergencia,13,0.013,11,0.011,1000,enfermedad,15,0.015,15,0.015,1000,exotiques,9,0.009,9,0.009,1000,jamais,9,0.009,9,0.009,1000
90,stille,12,0.012,12,0.012,1000,erreicht,12,0.012,12,0.012,1000,erwachsener,8,0.008,8,0.008,1000,schlagen,5,0.00917,5,0.00917,545,600,8,0.008,8,0.008,1000,wurzeln,6,0.0175,6,0.0175,343,arrivano,8,0.008,8,0.008,1000,ferrara,10,0.01,10,0.01,1000,70,13,0.013,13,0.013,1000,positivo,14,0.014,14,0.014,1000,situation,9,0.009,9,0.009,1000,scientifiques,9,0.009,9,0.009,1000
91,pandemie,12,0.012,12,0.012,1000,sardinien,12,0.012,12,0.012,1000,lassafieber,8,0.008,8,0.008,1000,zeitung,4,0.00734,4,0.00734,545,überträgerin,8,0.008,8,0.008,1000,italie,6,0.0175,6,0.0175,343,insetti,8,0.008,8,0.008,1000,malattia,10,0.01,10,0.01,1000,pública,13,0.013,13,0.013,1000,verano,14,0.014,14,0.014,1000,faire,9,0.009,9,0.009,1000,bientôt,9,0.009,9,0.009,1000
92,"5,6",12,0.012,12,0.012,1000,adria,12,0.012,12,0.012,1000,tirol,7,0.007,7,0.007,1000,tötet,4,0.00734,4,0.00734,545,millionen,8,0.008,8,0.008,1000,tue,6,0.0175,6,0.0175,343,australia,8,0.008,8,0.008,1000,viaggia,10,0.01,10,0.01,1000,tratamiento,13,0.013,13,0.013,1000,muere,14,0.014,14,0.014,1000,appel,9,0.009,9,0.009,1000,meurt,9,0.009,9,0.009,1000
93,milliarden,12,0.012,12,0.012,1000,spanien,12,0.012,12,0.012,1000,abtreibungen,7,0.007,7,0.007,1000,wissen,4,0.00734,4,0.00734,545,wallis,8,0.008,8,0.008,1000,tigre,6,0.0175,6,0.0175,343,l'italia,8,0.008,8,0.008,1000,ecdc,10,0.01,10,0.01,1000,abre,13,0.013,13,0.013,1000,coria,14,0.014,14,0.014,1000,c'est,9,0.009,9,0.009,1000,aquitaine,8,0.008,8,0.008,1000
94,sehen,12,0.012,12,0.012,1000,bevölkerung,12,0.012,12,0.012,1000,masern,7,0.007,7,0.007,1000,invasion,4,0.00734,4,0.00734,545,krieg,8,0.008,8,0.008,1000,syndrome,6,0.0175,6,0.0175,343,epidemia,8,0.008,8,0.008,1000,campania,10,0.01,10,0.01,1000,puerta,13,0.013,13,0.013,1000,vecino,14,0.014,14,0.014,1000,canicule,9,0.009,9,0.009,1000,italie,8,0.008,8,0.008,1000
95,2014,12,0.012,12,0.012,1000,zoo,11,0.011,11,0.011,1000,experten,7,0.007,7,0.007,1000,us,4,0.00734,4,0.00734,545,bläst,8,0.008,8,0.008,1000,guillain,6,0.0175,6,0.0175,343,romagna,8,0.008,8,0.008,1000,15,10,0.01,10,0.01,1000,oropouche,13,0.013,13,0.013,1000,provincia,14,0.014,14,0.014,1000,garonne,9,0.009,9,0.009,1000,transmettre,8,0.008,8,0.008,1000
96,warten,12,0.012,12,0.012,1000,vormarsch,11,0.011,11,0.011,1000,rasant,7,0.007,7,0.007,1000,experten,4,0.00734,4,0.00734,545,erklärt,8,0.008,8,0.008,1000,barré,6,0.0175,6,0.0175,343,arbovirosi,8,0.008,8,0.008,1000,donazioni,9,0.009,9,0.009,1000,avisa,12,0.012,12,0.012,1000,hepatitis,14,0.014,14,0.014,1000,paca,9,0.009,9,0.009,1000,gagne,8,0.008,8,0.008,1000
97,feuchtes,12,0.012,12,0.012,1000,niedersachsen,11,0.011,11,0.011,1000,mücke,7,0.007,7,0.007,1000,aktiv,4,0.00734,4,0.00734,545,zanzara,8,0.008,8,0.008,1000,nilo,6,0.0175,6,0.0175,343,sanità,8,0.008,8,0.008,1000,anti,9,0.009,9,0.009,1000,mujeres,12,0.012,12,0.012,1000,acaba,14,0.014,14,0.014,1000,gagne,9,0.009,9,0.009,1000,l'ue,8,0.008,8,0.008,1000
98,wetter,12,0.012,12,0.012,1000,ausmaß,11,0.011,11,0.011,1000,koreanische,7,0.007,7,0.007,1000,vorarlberg,4,0.00734,4,0.00734,545,lutter,8,0.008,8,0.008,1000,südeuropa,5,0.0146,5,0.0146,343,pericolo,8,0.008,8,0.008,1000,prevenzione,9,0.009,9,0.009,1000,amenaza,12,0.012,12,0.012,1000,matar,14,0.014,14,0.014,1000,corse,9,0.009,8,0.008,1000,tigres,8,0.008,8,0.008,1000
99,bericht,11,0.011,11,0.011,1000,tier,11,0.011,11,0.011,1000,buschmücke,7,0.007,7,0.007,1000,co,4,0.00734,4,0.00734,545,signalé,8,0.008,8,0.008,1000,meldet,5,0.0146,5,0.0146,343,toscana,8,0.008,8,0.008,1000,chikungunya,9,0.009,9,0.009,1000,aragón,12,0.012,12,0.012,1000,barbate,13,0.013,13,0.013,1000,d'où,9,0.009,9,0.009,1000,risques,8,0.008,8,0.008,1000
