country,qid,year,month,views
AT,Q11627066,2024,9,177
AT,Q11627066,2025,8,100
AT,Q15794049,2023,9,139
AT,Q15794049,2025,9,132
AT,Q158856,2023,5,681
AT,Q158856,2024,2,103
AT,Q158856,2024,7,233
AT,Q158856,2024,8,1727
AT,Q158856,2024,9,3206
AT,Q158856,2025,7,1088
AT,Q158856,2025,8,1394
AT,Q158856,2025,9,91
AT,Q158856,2026,1,1520
AT,Q158856,2026,2,123
AT,Q243257,2023,6,332
AT,Q243257,2023,9,518
AT,Q243257,2025,7,2100
AT,Q243257,2025,8,701
AT,Q243257,2025,9,676
AT,Q243257,2025,10,785
AT,Q243257,2026,2,103
AT,Q27958,2024,6,98
AT,Q30953,2023,6,113
AT,Q30953,2023,7,202
AT,Q30953,2023,8,862
AT,Q30953,2023,9,4512
AT,Q30953,2023,10,398
AT,Q30953,2023,12,104
AT,Q30953,2024,2,881
AT,Q30953,2024,3,102
AT,Q30953,2024,7,96
AT,Q30953,2025,7,214
AT,Q30953,2025,8,105
AT,Q30953,2026,4,111
AT,Q477918,2023,5,3295
AT,Q477918,2023,6,3462
AT,Q477918,2023,7,2841
AT,Q477918,2023,8,2665
AT,Q477918,2023,9,3678
AT,Q477918,2023,10,208
AT,Q477918,2023,11,180
AT,Q477918,2024,3,165
AT,Q477918,2024,4,91
AT,Q477918,2024,5,547
AT,Q477918,2024,6,3369
AT,Q477918,2024,7,3936
AT,Q477918,2024,8,5353
AT,Q477918,2024,9,2707
AT,Q477918,2024,10,366
AT,Q477918,2025,4,97
AT,Q477918,2025,5,98
AT,Q477918,2025,6,1109
AT,Q477918,2025,7,4231
AT,Q477918,2025,8,9791
AT,Q477918,2025,9,4487
AT,Q477918,2025,10,185
AT,Q477918,2026,1,129
AT,Q477918,2026,2,228
AT,Q477918,2026,5,3402
AT,Q477918,2026,6,2176
CH,Q158856,2024,8,104
CH,Q158856,2025,7,572
CH,Q158856,2025,8,547
CH,Q158856,2025,9,759
CH,Q243257,2024,8,169
CH,Q243257,2025,7,2711
CH,Q243257,2025,8,964
CH,Q243257,2025,9,1107
CH,Q30953,2023,7,100
CH,Q30953,2023,8,316
CH,Q30953,2023,9,1883
CH,Q30953,2023,10,318
CH,Q30953,2024,1,328
CH,Q30953,2024,2,439
CH,Q30953,2024,4,97
CH,Q30953,2024,7,209
CH,Q30953,2024,8,110
CH,Q30953,2025,5,353
CH,Q30953,2026,1,116
CH,Q30953,2026,3,382
CH,Q477918,2023,4,545
CH,Q477918,2023,5,199
CH,Q477918,2023,6,940
CH,Q477918,2023,7,1469
CH,Q477918,2023,8,1333
CH,Q477918,2023,9,369
CH,Q477918,2023,10,105
CH,Q477918,2024,2,460
CH,Q477918,2024,4,155
CH,Q477918,2024,5,521
CH,Q477918,2024,6,697
CH,Q477918,2024,7,444
CH,Q477918,2024,8,1305
CH,Q477918,2024,9,1492
CH,Q477918,2025,5,306
CH,Q477918,2025,6,487
CH,Q477918,2025,7,1265
CH,Q477918,2025,8,3197
CH,Q477918,2025,9,520
CH,Q477918,2026,5,200
DE,Q11627066,2023,5,1085
DE,Q11627066,2023,7,97
DE,Q11627066,2024,8,1127
DE,Q11627066,2024,9,138
DE,Q11627066,2025,7,210
DE,Q11627066,2025,8,510
DE,Q11627066,2026,6,386
DE,Q15794049,2023,6,119
DE,Q15794049,2024,1,131
DE,Q15794049,2025,7,2832
DE,Q15794049,2025,8,3311
DE,Q15794049,2025,9,1150
DE,Q15794049,2025,10,212
DE,Q15794049,2026,6,133
DE,Q158856,2023,2,702
DE,Q158856,2023,3,299
DE,Q158856,2023,4,188
DE,Q158856,2023,5,18805
DE,Q158856,2023,6,5822
DE,Q158856,2023,7,4711
DE,Q158856,2023,8,4995
DE,Q158856,2023,9,5408
DE,Q158856,2023,10,2832
DE,Q158856,2023,11,728
DE,Q158856,2023,12,243
DE,Q158856,2024,1,363
DE,Q158856,2024,2,697
DE,Q158856,2024,3,260
DE,Q158856,2024,4,142
DE,Q158856,2024,5,613
DE,Q158856,2024,6,724
DE,Q158856,2024,7,3218
DE,Q158856,2024,8,15564
DE,Q158856,2024,9,14908
DE,Q158856,2024,10,4094
DE,Q158856,2024,11,4956
DE,Q158856,2025,1,131
DE,Q158856,2025,5,131
DE,Q158856,2025,7,4327
DE,Q158856,2025,8,15160
DE,Q158856,2025,9,4426
DE,Q158856,2025,10,789
DE,Q158856,2026,2,1125
DE,Q158856,2026,6,5673
DE,Q202864,2023,3,107
DE,Q202864,2023,4,879
DE,Q202864,2023,5,578
DE,Q202864,2023,6,586
DE,Q202864,2023,7,488
DE,Q202864,2023,8,2140
DE,Q202864,2023,9,1271
DE,Q202864,2024,1,311
DE,Q202864,2024,2,557
DE,Q202864,2024,3,102
DE,Q202864,2024,4,147
DE,Q202864,2024,6,361
DE,Q202864,2024,8,137
DE,Q202864,2025,7,237
DE,Q202864,2025,8,2180
DE,Q202864,2025,9,157
DE,Q202864,2025,10,825
DE,Q202864,2026,3,103
DE,Q202864,2026,4,101
DE,Q243257,2023,6,1821
DE,Q243257,2023,7,380
DE,Q243257,2023,9,308
DE,Q243257,2023,11,245
DE,Q243257,2024,8,144
DE,Q243257,2025,4,649
DE,Q243257,2025,5,1571
DE,Q243257,2025,6,762
DE,Q243257,2025,7,40542
DE,Q243257,2025,8,27090
DE,Q243257,2025,9,16423
DE,Q243257,2025,10,8032
DE,Q243257,2025,11,3885
DE,Q243257,2025,12,3278
DE,Q243257,2026,1,2081
DE,Q243257,2026,2,3650
DE,Q243257,2026,3,4259
DE,Q243257,2026,4,1184
DE,Q243257,2026,5,514
DE,Q243257,2026,6,1077
DE,Q2502726,2024,8,11326
DE,Q2502726,2024,9,8726
DE,Q2502726,2024,10,321
DE,Q27958,2023,5,498
DE,Q27958,2023,6,468
DE,Q27958,2023,7,239
DE,Q27958,2023,8,1146
DE,Q27958,2023,9,1239
DE,Q27958,2024,4,127
DE,Q27958,2024,5,335
DE,Q27958,2024,6,1319
DE,Q27958,2024,7,690
DE,Q27958,2024,8,549
DE,Q27958,2024,9,221
DE,Q30953,2023,2,4581
DE,Q30953,2023,3,5917
DE,Q30953,2023,4,6380
DE,Q30953,2023,5,6410
DE,Q30953,2023,6,7763
DE,Q30953,2023,7,13875
DE,Q30953,2023,8,11473
DE,Q30953,2023,9,36910
DE,Q30953,2023,10,10229
DE,Q30953,2023,11,5597
DE,Q30953,2023,12,6631
DE,Q30953,2024,1,8101
DE,Q30953,2024,2,17030
DE,Q30953,2024,3,12959
DE,Q30953,2024,4,13554
DE,Q30953,2024,5,10586
DE,Q30953,2024,6,24910
DE,Q30953,2024,7,53640
DE,Q30953,2024,8,11552
DE,Q30953,2024,9,6766
DE,Q30953,2024,10,5725
DE,Q30953,2024,11,4680
DE,Q30953,2024,12,3293
DE,Q30953,2025,1,4742
DE,Q30953,2025,2,3802
DE,Q30953,2025,3,5165
DE,Q30953,2025,4,1164
DE,Q30953,2025,5,2703
DE,Q30953,2025,6,3777
DE,Q30953,2025,7,4859
DE,Q30953,2025,8,7256
DE,Q30953,2025,9,5250
DE,Q30953,2025,10,3331
DE,Q30953,2025,11,2520
DE,Q30953,2025,12,4514
DE,Q30953,2026,1,3192
DE,Q30953,2026,2,2482
DE,Q30953,2026,3,1944
DE,Q30953,2026,4,2374
DE,Q30953,2026,5,3370
DE,Q30953,2026,6,2171
DE,Q477918,2023,2,116
DE,Q477918,2023,3,908
DE,Q477918,2023,4,7455
DE,Q477918,2023,5,18838
DE,Q477918,2023,6,22825
DE,Q477918,2023,7,18235
DE,Q477918,2023,8,34353
DE,Q477918,2023,9,28318
DE,Q477918,2023,10,10735
DE,Q477918,2023,11,2735
DE,Q477918,2023,12,510
DE,Q477918,2024,1,1533
DE,Q477918,2024,2,3272
DE,Q477918,2024,3,5457
DE,Q477918,2024,4,14704
DE,Q477918,2024,5,34280
DE,Q477918,2024,6,19904
DE,Q477918,2024,7,23983
DE,Q477918,2024,8,26956
DE,Q477918,2024,9,14990
DE,Q477918,2024,10,7075
DE,Q477918,2024,11,2961
DE,Q477918,2024,12,108
DE,Q477918,2025,1,263
DE,Q477918,2025,2,1220
DE,Q477918,2025,3,4625
DE,Q477918,2025,4,7813
DE,Q477918,2025,5,13811
DE,Q477918,2025,6,19870
DE,Q477918,2025,7,23973
DE,Q477918,2025,8,44695
DE,Q477918,2025,9,26039
DE,Q477918,2025,10,8821
DE,Q477918,2025,11,2918
DE,Q477918,2025,12,228
DE,Q477918,2026,1,190
DE,Q477918,2026,2,820
DE,Q477918,2026,3,2923
DE,Q477918,2026,4,6625
DE,Q477918,2026,5,17091
DE,Q477918,2026,6,14716
ES,Q11627066,2024,8,140
ES,Q158856,2023,7,486
ES,Q158856,2023,8,2166
ES,Q158856,2023,9,1797
ES,Q158856,2023,10,1027
ES,Q158856,2023,11,378
ES,Q158856,2024,4,2355
ES,Q158856,2024,6,1444
ES,Q158856,2024,7,16079
ES,Q158856,2024,8,37593
ES,Q158856,2024,9,15698
ES,Q158856,2024,10,4344
ES,Q158856,2024,11,142
ES,Q158856,2025,3,1808
ES,Q158856,2025,4,109
ES,Q158856,2025,5,262
ES,Q158856,2025,6,3634
ES,Q158856,2025,7,2769
ES,Q158856,2025,8,1876
ES,Q158856,2025,9,3467
ES,Q158856,2025,10,683
ES,Q158856,2025,11,367
ES,Q243257,2025,7,834
ES,Q243257,2025,8,17364
ES,Q243257,2025,10,427
ES,Q243257,2025,11,1395
ES,Q243257,2025,12,2034
ES,Q243257,2026,2,231
ES,Q2502726,2024,6,244
ES,Q2502726,2025,11,1036
ES,Q27958,2024,8,458
ES,Q30953,2023,2,375
ES,Q30953,2023,3,1180
ES,Q30953,2023,4,331
ES,Q30953,2023,5,127
ES,Q30953,2023,6,877
ES,Q30953,2023,7,556
ES,Q30953,2023,8,631
ES,Q30953,2023,9,1257
ES,Q30953,2023,10,616
ES,Q30953,2023,11,153
ES,Q30953,2023,12,96
ES,Q30953,2024,1,104
ES,Q30953,2024,2,2026
ES,Q30953,2024,3,3358
ES,Q30953,2024,4,5584
ES,Q30953,2024,5,1135
ES,Q30953,2024,6,894
ES,Q30953,2024,7,413
ES,Q30953,2024,8,204
ES,Q30953,2024,9,1091
ES,Q30953,2025,4,101
ES,Q30953,2025,8,420
ES,Q477918,2023,3,229
ES,Q477918,2023,4,391
ES,Q477918,2023,5,1881
ES,Q477918,2023,6,4791
ES,Q477918,2023,7,3657
ES,Q477918,2023,8,5126
ES,Q477918,2023,9,5842
ES,Q477918,2023,10,5244
ES,Q477918,2023,11,212
ES,Q477918,2023,12,216
ES,Q477918,2024,1,93
ES,Q477918,2024,2,95
ES,Q477918,2024,3,195
ES,Q477918,2024,4,646
ES,Q477918,2024,5,949
ES,Q477918,2024,6,2214
ES,Q477918,2024,7,3605
ES,Q477918,2024,8,5325
ES,Q477918,2024,9,3552
ES,Q477918,2024,10,1205
ES,Q477918,2024,11,373
ES,Q477918,2025,4,97
ES,Q477918,2025,5,1149
ES,Q477918,2025,6,3786
ES,Q477918,2025,7,4655
ES,Q477918,2025,8,7351
ES,Q477918,2025,9,3424
ES,Q477918,2025,10,2640
ES,Q477918,2026,5,99
ES,Q477918,2026,6,431
FR,Q11627066,2023,8,176
FR,Q11627066,2024,7,110
FR,Q11627066,2024,8,640
FR,Q11627066,2025,3,217
FR,Q11627066,2025,8,118
FR,Q158856,2023,2,203
FR,Q158856,2023,4,586
FR,Q158856,2023,5,112
FR,Q158856,2023,8,7094
FR,Q158856,2023,10,116
FR,Q158856,2024,3,256
FR,Q158856,2024,6,141
FR,Q158856,2024,7,368
FR,Q158856,2024,8,9165
FR,Q158856,2024,9,1958
FR,Q158856,2024,10,661
FR,Q158856,2024,12,143
FR,Q158856,2025,7,379
FR,Q158856,2025,8,1487
FR,Q202864,2023,7,734
FR,Q202864,2024,6,129
FR,Q202864,2024,10,391
FR,Q202864,2024,11,296
FR,Q202864,2025,7,408
FR,Q243257,2023,4,91
FR,Q243257,2023,5,123
FR,Q243257,2023,6,239
FR,Q243257,2023,7,567
FR,Q243257,2023,8,887
FR,Q243257,2023,9,670
FR,Q243257,2023,10,96
FR,Q243257,2023,11,118
FR,Q243257,2024,7,1512
FR,Q243257,2024,8,3996
FR,Q243257,2024,9,611
FR,Q243257,2025,1,701
FR,Q243257,2025,2,648
FR,Q243257,2025,3,7948
FR,Q243257,2025,4,26669
FR,Q243257,2025,5,9482
FR,Q243257,2025,6,12153
FR,Q243257,2025,7,14938
FR,Q243257,2025,8,23415
FR,Q243257,2025,9,19489
FR,Q243257,2025,10,3484
FR,Q243257,2025,11,302
FR,Q243257,2025,12,133
FR,Q243257,2026,5,208
FR,Q2502726,2023,8,182
FR,Q30953,2023,3,198
FR,Q30953,2023,4,650
FR,Q30953,2023,5,374
FR,Q30953,2023,6,1207
FR,Q30953,2023,7,6078
FR,Q30953,2023,8,8082
FR,Q30953,2023,9,8950
FR,Q30953,2023,10,4463
FR,Q30953,2023,11,1598
FR,Q30953,2023,12,1412
FR,Q30953,2024,1,2753
FR,Q30953,2024,2,4935
FR,Q30953,2024,3,4702
FR,Q30953,2024,4,4232
FR,Q30953,2024,5,2831
FR,Q30953,2024,6,5697
FR,Q30953,2024,7,14738
FR,Q30953,2024,8,3535
FR,Q30953,2024,9,1485
FR,Q30953,2024,10,370
FR,Q30953,2024,11,226
FR,Q30953,2025,2,505
FR,Q30953,2025,3,757
FR,Q30953,2025,4,594
FR,Q30953,2025,5,474
FR,Q30953,2025,6,1294
FR,Q30953,2025,7,1528
FR,Q30953,2025,8,3622
FR,Q30953,2025,9,590
FR,Q477918,2023,4,980
FR,Q477918,2023,5,5620
FR,Q477918,2023,6,9493
FR,Q477918,2023,7,15023
FR,Q477918,2023,8,19798
FR,Q477918,2023,9,14945
FR,Q477918,2023,10,5105
FR,Q477918,2024,3,1607
FR,Q477918,2024,4,3091
FR,Q477918,2024,5,7781
FR,Q477918,2024,6,9286
FR,Q477918,2024,7,13887
FR,Q477918,2024,8,22396
FR,Q477918,2024,9,9180
FR,Q477918,2024,10,2186
FR,Q477918,2024,11,107
FR,Q477918,2025,4,3335
FR,Q477918,2025,5,6086
FR,Q477918,2025,6,10861
FR,Q477918,2025,7,15208
FR,Q477918,2025,8,26562
FR,Q477918,2025,9,11129
FR,Q477918,2025,10,2505
FR,Q477918,2026,4,1250
FR,Q477918,2026,5,5432
FR,Q477918,2026,6,3692
FR,Q8071861,2025,1,136
IT,Q11627066,2025,7,9870
IT,Q11627066,2025,8,4529
IT,Q158856,2023,6,1614
IT,Q158856,2023,7,1633
IT,Q158856,2023,8,7810
IT,Q158856,2023,9,844
IT,Q158856,2023,10,178
IT,Q158856,2024,2,2603
IT,Q158856,2024,6,339
IT,Q158856,2024,7,8446
IT,Q158856,2024,8,23876
IT,Q158856,2024,9,7753
IT,Q158856,2025,7,129252
IT,Q158856,2025,8,15411
IT,Q202864,2024,3,312
IT,Q202864,2024,7,636
IT,Q202864,2024,8,414
IT,Q202864,2025,5,789
IT,Q243257,2023,10,164
IT,Q243257,2023,11,650
IT,Q243257,2024,7,638
IT,Q243257,2024,8,317
IT,Q243257,2024,10,131
IT,Q243257,2025,7,14782
IT,Q243257,2025,8,27655
IT,Q243257,2025,9,19205
IT,Q243257,2025,10,932
IT,Q243257,2025,11,879
IT,Q243257,2025,12,163
IT,Q243257,2026,4,168
IT,Q243257,2026,5,199
IT,Q2502726,2024,8,2928
IT,Q2502726,2025,8,203
IT,Q27958,2025,7,1982
IT,Q27958,2025,8,143
IT,Q30953,2023,2,798
IT,Q30953,2023,4,4359
IT,Q30953,2023,5,743
IT,Q30953,2023,6,1507
IT,Q30953,2023,7,5722
IT,Q30953,2023,8,12637
IT,Q30953,2023,9,12664
IT,Q30953,2023,10,5127
IT,Q30953,2023,11,1615
IT,Q30953,2023,12,2744
IT,Q30953,2024,1,3179
IT,Q30953,2024,2,38241
IT,Q30953,2024,3,38103
IT,Q30953,2024,4,21235
IT,Q30953,2024,5,11832
IT,Q30953,2024,6,8203
IT,Q30953,2024,7,17302
IT,Q30953,2024,8,20866
IT,Q30953,2024,9,27684
IT,Q30953,2024,10,44797
IT,Q30953,2024,11,2639
IT,Q30953,2024,12,1704
IT,Q30953,2025,1,1517
IT,Q30953,2025,2,484
IT,Q30953,2025,3,362
IT,Q30953,2025,4,924
IT,Q30953,2025,5,9287
IT,Q30953,2025,6,5438
IT,Q30953,2025,7,15118
IT,Q30953,2025,8,12546
IT,Q30953,2025,9,6896
IT,Q30953,2025,10,1480
IT,Q30953,2025,11,138
IT,Q30953,2026,1,369
IT,Q30953,2026,3,127
IT,Q30953,2026,4,924
IT,Q30953,2026,5,155
IT,Q30953,2026,6,1801
IT,Q477918,2023,6,1280
IT,Q477918,2023,7,3096
IT,Q477918,2023,8,4195
IT,Q477918,2023,9,2430
IT,Q477918,2023,10,237
IT,Q477918,2024,7,141
IT,Q477918,2024,8,2055
IT,Q477918,2024,9,1065
IT,Q477918,2024,10,316
IT,Q477918,2025,7,3654
IT,Q477918,2025,8,5024
IT,Q477918,2025,9,1836
